epoch,split,length_bucket,correct,total,sequence_accuracy
71,val,10-19,448,795,0.5635220125786163
71,val,100-109,0,1,0.0
71,val,20-29,0,68,0.0
71,val,30-39,0,21,0.0
71,val,40-49,0,5,0.0
71,val,50-59,0,3,0.0
71,val,60-69,0,2,0.0
71,val,70-79,0,1,0.0
72,val,0-9,1312,2553,0.5139052095573835
72,val,10-19,440,795,0.5534591194968553
72,val,100-109,0,1,0.0
72,val,20-29,0,68,0.0
72,val,30-39,0,21,0.0
72,val,40-49,0,5,0.0
72,val,50-59,0,3,0.0
72,val,60-69,0,2,0.0
72,val,70-79,0,1,0.0
73,val,0-9,1307,2553,0.5119467293380336
73,val,10-19,439,795,0.5522012578616352
73,val,100-109,0,1,0.0
73,val,20-29,0,68,0.0
73,val,30-39,0,21,0.0
73,val,40-49,0,5,0.0
73,val,50-59,0,3,0.0
73,val,60-69,0,2,0.0
73,val,70-79,0,1,0.0
74,val,0-9,1301,2553,0.509596553074814
74,val,10-19,446,795,0.5610062893081761
74,val,100-109,0,1,0.0
74,val,20-29,0,68,0.0
74,val,30-39,0,21,0.0
74,val,40-49,0,5,0.0
74,val,50-59,0,3,0.0
74,val,60-69,0,2,0.0
74,val,70-79,0,1,0.0
75,val,0-9,1301,2553,0.509596553074814
75,val,10-19,442,795,0.5559748427672956
75,val,100-109,0,1,0.0
75,val,20-29,0,68,0.0
75,val,30-39,0,21,0.0
75,val,40-49,0,5,0.0
75,val,50-59,0,3,0.0
75,val,60-69,0,2,0.0
75,val,70-79,0,1,0.0
76,val,0-9,1302,2553,0.5099882491186839
76,val,10-19,442,795,0.5559748427672956
76,val,100-109,0,1,0.0
76,val,20-29,0,68,0.0
76,val,30-39,0,21,0.0
76,val,40-49,0,5,0.0
76,val,50-59,0,3,0.0
76,val,60-69,0,2,0.0
76,val,70-79,0,1,0.0
77,val,0-9,1307,2553,0.5119467293380336
77,val,10-19,451,795,0.5672955974842767
77,val,100-109,0,1,0.0
77,val,20-29,0,68,0.0
77,val,30-39,0,21,0.0
77,val,40-49,0,5,0.0
77,val,50-59,0,3,0.0
77,val,60-69,0,2,0.0
77,val,70-79,0,1,0.0
78,val,0-9,1323,2553,0.518213866039953
78,val,10-19,449,795,0.5647798742138365
78,val,100-109,0,1,0.0
78,val,20-29,0,68,0.0
78,val,30-39,0,21,0.0
78,val,40-49,0,5,0.0
78,val,50-59,0,3,0.0
78,val,60-69,0,2,0.0
78,val,70-79,0,1,0.0
79,val,0-9,1302,2553,0.5099882491186839
79,val,10-19,439,795,0.5522012578616352
79,val,100-109,0,1,0.0
79,val,20-29,0,68,0.0
79,val,30-39,0,21,0.0
79,val,40-49,0,5,0.0
79,val,50-59,0,3,0.0
79,val,60-69,0,2,0.0
79,val,70-79,0,1,0.0
80,val,0-9,1297,2553,0.5080297688993342
80,val,10-19,446,795,0.5610062893081761
80,val,100-109,0,1,0.0
80,val,20-29,0,68,0.0
80,val,30-39,0,21,0.0
80,val,40-49,0,5,0.0
80,val,50-59,0,3,0.0
80,val,60-69,0,2,0.0
80,val,70-79,0,1,0.0
81,val,0-9,1295,2553,0.5072463768115942
81,val,10-19,446,795,0.5610062893081761
81,val,100-109,0,1,0.0
81,val,20-29,0,68,0.0
81,val,30-39,0,21,0.0
81,val,40-49,0,5,0.0
81,val,50-59,0,3,0.0
81,val,60-69,0,2,0.0
81,val,70-79,0,1,0.0
82,val,0-9,1297,2553,0.5080297688993342
82,val,10-19,448,795,0.5635220125786163
82,val,100-109,0,1,0.0
82,val,20-29,0,68,0.0
82,val,30-39,0,21,0.0
82,val,40-49,0,5,0.0
82,val,50-59,0,3,0.0
82,val,60-69,0,2,0.0
82,val,70-79,0,1,0.0
83,val,0-9,1305,2553,0.5111633372502937
83,val,10-19,445,795,0.559748427672956
83,val,100-109,0,1,0.0
83,val,20-29,0,68,0.0
83,val,30-39,0,21,0.0
83,val,40-49,0,5,0.0
83,val,50-59,0,3,0.0
83,val,60-69,0,2,0.0
83,val,70-79,0,1,0.0
84,val,0-9,1286,2553,0.5037211124167645
84,val,10-19,444,795,0.5584905660377358
84,val,100-109,0,1,0.0
84,val,20-29,0,68,0.0
84,val,30-39,0,21,0.0
84,val,40-49,0,5,0.0
84,val,50-59,0,3,0.0
84,val,60-69,0,2,0.0
84,val,70-79,0,1,0.0
85,val,0-9,1304,2553,0.5107716412064238
85,val,10-19,444,795,0.5584905660377358
85,val,100-109,0,1,0.0
85,val,20-29,0,68,0.0
85,val,30-39,0,21,0.0
85,val,40-49,0,5,0.0
85,val,50-59,0,3,0.0
85,val,60-69,0,2,0.0
85,val,70-79,0,1,0.0
86,val,0-9,1293,2553,0.5064629847238543
86,val,10-19,442,795,0.5559748427672956
86,val,100-109,0,1,0.0
86,val,20-29,0,68,0.0
86,val,30-39,0,21,0.0
86,val,40-49,0,5,0.0
86,val,50-59,0,3,0.0
86,val,60-69,0,2,0.0
86,val,70-79,0,1,0.0
87,val,0-9,1302,2553,0.5099882491186839
87,val,10-19,446,795,0.5610062893081761
87,val,100-109,0,1,0.0
87,val,20-29,0,68,0.0
87,val,30-39,0,21,0.0
87,val,40-49,0,5,0.0
87,val,50-59,0,3,0.0
87,val,60-69,0,2,0.0
87,val,70-79,0,1,0.0
88,val,0-9,1294,2553,0.5068546807677242
88,val,10-19,450,795,0.5660377358490566
88,val,100-109,0,1,0.0
